fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2019-01-01,AA,AA,AA,2074,AA,N955UW,2074,10423,AUS,"Austin, TX",14100,PHL,"Philadelphia, PA",721,711,-10,12,723,1100,3,1146,1103,-43,0,,0,N,205,172,157,1,1430,,,,,,,,,
2019-01-01,AA,AA,AA,2075,AA,N183UW,2075,13204,MCO,"Orlando, FL",11298,DFW,"Dallas/Fort Worth, TX",545,553,8,13,606,726,11,745,737,-8,0,,0,N,180,164,140,1,985,,,,,,,,,
2019-01-01,AA,AA,AA,2076,AA,N833AW,2076,12892,LAX,"Los Angeles, CA",14492,RDU,"Raleigh/Durham, NC",2105,2103,-2,13,2116,423,3,441,426,-15,0,,0,N,276,263,247,1,2239,,,,,,,,,
2019-01-01,AA,AA,AA,2077,AA,N118US,2077,13204,MCO,"Orlando, FL",14100,PHL,"Philadelphia, PA",503,455,-8,14,509,657,5,730,702,-28,0,,0,N,147,127,108,1,861,,,,,,,,,
2019-01-01,AA,AA,AA,2078,AA,N971UY,2078,14679,SAN,"San Diego, CA",14100,PHL,"Philadelphia, PA",2245,2238,-7,13,2251,602,4,649,606,-43,0,,0,N,304,268,251,1,2370,,,,,,,,,
2019-01-01,AA,AA,AA,2079,AA,N196UW,2079,11057,CLT,"Charlotte, NC",14027,PBI,"West Palm Beach/Palm Beach, FL",2214,3,109,16,19,145,5,1,150,109,0,,0,N,107,107,86,1,590,0,0,0,0,109,,,,
2019-01-01,AA,AA,AA,2080,AA,N124US,2080,14100,PHL,"Philadelphia, PA",13204,MCO,"Orlando, FL",1700,1654,-6,14,1708,1915,9,1937,1924,-13,0,,0,N,157,150,127,1,861,,,,,,,,,
2019-01-01,AA,AA,AA,2082,AA,N604AW,2082,14100,PHL,"Philadelphia, PA",15304,TPA,"Tampa, FL",1750,1747,-3,17,1804,2022,4,2040,2026,-14,0,,0,N,170,159,138,1,920,,,,,,,,,
2019-01-01,AA,AA,AA,2605,AA,N982TW,2605,14492,RDU,"Raleigh/Durham, NC",11298,DFW,"Dallas/Fort Worth, TX",530,524,-6,12,536,725,8,752,733,-19,0,,0,N,202,189,169,1,1061,,,,,,,,,
2019-01-01,AA,AA,AA,2607,AA,N908AN,2607,11298,DFW,"Dallas/Fort Worth, TX",13495,MSY,"New Orleans, LA",1025,1050,25,19,1109,1208,3,1148,1211,23,0,,0,N,83,81,59,1,447,23,0,0,0,0,,,,
